date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,news_count,magnitude_mean,magnitude_sum,sentiment_weighted_mean,sentiment_mean_roll_avg_3d,sentiment_weighted_mean_roll_avg_3d,news_count_roll_sum_3d,sentiment_std_roll_max_3d,sentiment_mean_roll_avg_7d,sentiment_weighted_mean_roll_avg_7d,news_count_roll_sum_7d,sentiment_std_roll_max_7d,sentiment_mean_roll_avg_14d,sentiment_weighted_mean_roll_avg_14d,news_count_roll_sum_14d,sentiment_std_roll_max_14d,Policy_Repo_Rate,10Y_Bond_Yield,Call_Money_Rate,CPI_Index,IIP_Index,GDP_Growth_QoQ,USD_INR_Exchange_Rate,Trade_Exports_USD,Trade_Imports_USD,FX_Reserves,Crude_Oil_Brent,Crude_Oil_WTI,Net_Sales_Income_from_operations,Basic_EPS,Net_Profit_Loss_For_the_Period,P_L_Before_Other_Inc_Int_Excpt_Items__Tax,Interest,Increase_Decrease_in_Stocks
20-05-2020,1438.313318,1447.924754,1427.506552,1434.583618,2057402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.47,19446400000,22599780000,460963.5369,34.76,33.56,4635,4.82,476,665,25,-305
21-05-2020,1437.404827,1514.391579,1435.492112,1505.59314,3845743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.63,19446400000,22599780000,460963.5369,34.78,34.3,4635,4.82,476,665,25,-305
22-05-2020,1500.332933,1554.080151,1487.517726,1547.290039,5203736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.99,19446400000,22599780000,460963.5369,33.8,33.49,4635,4.82,476,665,25,-305
26-05-2020,1554.080319,1584.635883,1549.298534,1558.718628,3552636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.43,19446400000,22599780000,460963.5369,33.95,34.7,4635,4.82,476,665,25,-305
27-05-2020,1559.818309,1565.412974,1526.297949,1548.772339,2260057,-0.991307,0,-0.991307,-0.991307,1,0.991307,0.991307,-0.991307,-0.330436,-0.330436,1,0,-0.141615,-0.141615,1,0,0.000621,0.000621,2,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.88,19446400000,22599780000,460963.5369,32.73,32.8,4635,4.82,476,665,25,-305
28-05-2020,1551.211119,1584.635751,1544.755709,1571.868408,3138915,0,0,0,0,0,0,0,0,-0.330436,-0.330436,1,0,-0.141615,-0.141615,1,0,-0.070808,-0.070808,1,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.67,19446400000,22599780000,460963.5369,33.98,33.67,4635,4.82,476,665,25,-305
29-05-2020,1567.46909,1624.850509,1561.82656,1609.644409,3532977,0,0,0,0,0,0,0,0,-0.330436,-0.330436,1,0,-0.141615,-0.141615,1,0,-0.070808,-0.070808,1,0,4.25,5.92,4.49,126.2353,79.07681,38939425.8,75.59,19446400000,22599780000,460963.5369,34.15,35.57,4635,4.82,476,665,25,-305
01-06-2020,1632.023539,1637.187892,1608.11461,1619.351807,2529255,0,0,0,0,0,0,0,0,0,0,0,0,-0.141615,-0.141615,1,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.56,22127580000,21495520000,472094.3074,36.74,35.49,4635,4.82,476,665,25,-305
02-06-2020,1619.351594,1657.366788,1606.679863,1634.701172,2440552,0,0,0,0,0,0,0,0,0,0,0,0,-0.141615,-0.141615,1,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.03,22127580000,21495520000,472094.3074,37.72,36.88,4635,4.82,476,665,25,-305
03-06-2020,1648.759824,1667.886968,1631.401918,1641.63501,3088817,0,0,0,0,0,0,0,0,0,0,0,0,-0.141615,-0.141615,1,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.32,22127580000,21495520000,472094.3074,37.98,37.33,4635,4.82,476,665,25,-305
04-06-2020,1641.538919,1644.551467,1555.992832,1562.448242,4388930,0,0,0,0,0,0,0,0,0,0,0,0,-0.141615,-0.141615,1,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.43,22127580000,21495520000,472094.3074,38.41,37.42,4635,4.82,476,665,25,-305
05-06-2020,1577.989182,1586.931098,1550.254827,1567.03894,2884206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.61,22127580000,21495520000,472094.3074,41,39.49,4635,4.82,476,665,25,-305
08-06-2020,1584.683513,1593.290726,1557.905517,1562.926392,2046505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.44,22127580000,21495520000,472094.3074,39.66,38.17,4635,4.82,476,665,25,-305
09-06-2020,1568.425408,1621.02504,1565.317248,1570.385986,3671930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.44,22127580000,21495520000,472094.3074,40.45,38.98,4635,4.82,476,665,25,-305
10-06-2020,1576.076395,1601.993647,1556.853642,1564.552246,2069280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070808,-0.070808,1,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.65,22127580000,21495520000,472094.3074,41.18,39.54,4635,4.82,476,665,25,-305
11-06-2020,1564.552221,1574.163656,1536.865732,1540.308594,1888420,0.83864,0,0.83864,0.83864,1,0.83864,0.83864,0.83864,0.279547,0.279547,1,0,0.119806,0.119806,1,0,-0.010905,-0.010905,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.97,22127580000,21495520000,472094.3074,37.76,36.43,4635,4.82,476,665,25,-305
12-06-2020,1511.044063,1571.246689,1508.65317,1565.891113,2391556,0,0,0,0,0,0,0,0,0.279547,0.279547,1,0,0.119806,0.119806,1,0,-0.010905,-0.010905,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,76.03,22127580000,21495520000,472094.3074,38.54,36.24,4635,4.82,476,665,25,-305
15-06-2020,1557.905607,1578.61076,1532.179579,1547.576904,1681166,0.999902,0,0.999902,0.999902,1,0.999902,0.999902,0.999902,0.612847,0.612847,2,0,0.262649,0.262649,2,0,0.060517,0.060517,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.97,22127580000,21495520000,472094.3074,39.44,37.07,4635,4.82,476,665,25,-305
16-06-2020,1567.469218,1568.664664,1537.487448,1550.924194,1497691,0,0,0,0,0,0,0,0,0.333301,0.333301,1,0,0.262649,0.262649,2,0,0.131324,0.131324,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,76.19,22127580000,21495520000,472094.3074,40.75,38.26,4635,4.82,476,665,25,-305
17-06-2020,1537.391733,1551.832701,1520.990188,1525.771973,1812788,0,0,0,0,0,0,0,0,0.333301,0.333301,1,0,0.262649,0.262649,2,0,0.131324,0.131324,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,76.25,22127580000,21495520000,472094.3074,40.47,37.91,4635,4.82,476,665,25,-305
18-06-2020,1525.772102,1541.838831,1518.025634,1528.067383,1417273,0,0,0,0,0,0,0,0,0,0,0,0,0.262649,0.262649,2,0,0.131324,0.131324,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,76.32,22127580000,21495520000,472094.3074,41.75,38.79,4635,4.82,476,665,25,-305
19-06-2020,1528.067358,1558.862009,1521.611948,1551.689331,2714342,0,0,0,0,0,0,0,0,0,0,0,0,0.262649,0.262649,2,0,0.131324,0.131324,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,76.21,22127580000,21495520000,472094.3074,42.33,39.72,4635,4.82,476,665,25,-305
22-06-2020,1561.731028,1600.463487,1553.123814,1580.045288,2034739,0,0,0,0,0,0,0,0,0,0,0,0,0.142843,0.142843,1,0,0.131324,0.131324,2,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.76,22127580000,21495520000,472094.3074,43.2,40.6,4635,4.82,476,665,25,-305
23-06-2020,1587.409475,1615.28731,1569.382165,1610.409912,2334863,1,0,1,1,1,1,1,1,0.333333,0.333333,1,0,0.2857,0.2857,2,0,0.202753,0.202753,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.48,22127580000,21495520000,472094.3074,42.72,40.4,4635,4.82,476,665,25,-305
